Activation,Gradient,Optimizer,Learning Rate,Epochs,Test Accuracy,Loss,Time
sigmoid,minibatch,adagrad,1e-05,1000,0.0673644587337177,0.8326848249027238,74.328038
sigmoid,batch,adagrad,0.01,50,0.1248292579287499,0.5136186770428015,20.631704
sigmoid,batch,momentum,0.01,100,0.0260274288656123,0.9494163424124512,32.679282
sigmoid,batch,adagrad,0.01,50,0.0356909373165491,0.926070038910506,20.176271
sigmoid,batch,momentum,0.01,100,0.0288951358587748,0.9455252918287936,32.730834
sigmoid,batch,none,0.05,100,0.0296487188746479,0.9455252918287936,30.424136
sigmoid,minibatch,adagrad,1e-05,1000,0.0778507586627116,0.8560311284046692,73.934666
sigmoid,minibatch,adagrad,5e-05,500,0.0534925982273859,0.8832684824902723,36.967052
sigmoid,batch,adagrad,0.01,50,0.0274262015536499,0.9416342412451362,19.911231
sigmoid,batch,momentum,0.01,100,0.0225590095492461,0.9571984435797666,33.296335
sigmoid,batch,none,0.05,100,0.0369377183415653,0.9182879377431906,30.536803
sigmoid,minibatch,adagrad,5e-05,500,0.0467032849520276,0.8793774319066148,47.902466
sigmoid,minibatch,momentum,0.01,500,0.0408198635035244,0.9105058365758756,44.711759
sigmoid,minibatch,none,0.05,500,0.0520440759282884,0.8871595330739299,41.924054
sigmoid,stochastic,adagrad,0.01,800,0.0692676521641316,0.8249027237354085,42.66819
sigmoid,stochastic,momentum,0.05,1500,0.0606349347549487,0.8443579766536965,79.416328
sigmoid,stochastic,none,0.08,2500,0.1146901507699115,0.7509727626459144,131.370234
sigmoid,stochastic,adagrad,0.01,800,0.0649922809297025,0.8365758754863813,42.16484
sigmoid,stochastic,adagrad,0.01,800,0.0622802983209938,0.8132295719844358,42.318826
sigmoid,stochastic,adagrad,0.01,800,0.0693879723782419,0.8365758754863813,42.439401
sigmoid,stochastic,adagrad,0.01,800,0.0549214391434871,0.8599221789883269,42.035847
sigmoid,stochastic,adagrad,0.01,800,0.0550477037053753,0.8715953307392996,42.147757
sigmoid,stochastic,adagrad,0.01,1000,0.0943443673262534,0.867704280155642,52.535717
sigmoid,stochastic,adagrad,0.005,1500,0.0554096041924383,0.8638132295719845,79.311114
sigmoid,stochastic,momentum,0.05,2000,0.0569392925931797,0.8521400778210116,104.921627
sigmoid,stochastic,none,0.05,2500,0.1246961387135793,0.5136186770428015,132.145426
sigmoid,stochastic,none,0.1,2500,0.1880063856528401,0.5136186770428015,131.191305
tanh,batch,adagrad,0.005,50,0.0448019419507966,0.8793774319066148,20.135309
sigmoid,stochastic,none,0.03,2500,0.1250254170764504,0.5136186770428015,132.112433
sigmoid,stochastic,none,0.08,2500,0.217366647876088,0.5136186770428015,131.265922
sigmoid,stochastic,none,0.1,2500,0.1079336841579972,0.7276264591439688,131.012649
tanh,batch,adagrad,0.005,100,0.0380460954875778,0.9105058365758756,40.383774
tanh,batch,momentum,0.01,100,0.0224990292662174,0.9455252918287936,32.659593
tanh,batch,none,0.05,100,0.0264749096583261,0.9416342412451362,30.419286
tanh,minibatch,adagrad,0.005,100,0.0402770378968172,0.9105058365758756,9.502444
tanh,minibatch,momentum,0.008,500,0.0480968605796746,0.8988326848249028,43.0378
tanh,minibatch,none,0.01,500,0.0380942032653484,0.926070038910506,41.737104
tanh,stochastic,adagrad,0.005,500,0.0744273619079231,0.8249027237354085,26.03112
tanh,stochastic,momentum,0.01,1000,0.0857931897189605,0.7665369649805448,51.254371
tanh,stochastic,none,0.05,1500,0.0609705346138813,0.8560311284046692,77.499
relu,batch,adagrad,0.005,50,0.2369544789239694,0.5136186770428015,19.577594
relu,batch,momentum,0.008,100,0.0296066929529841,0.9377431906614786,32.27822
relu,batch,none,0.05,100,0.0488900941261632,0.9027237354085604,29.786081
relu,minibatch,adagrad,0.005,100,0.1923172548744226,0.5136186770428015,9.127219
relu,minibatch,momentum,0.008,500,0.0395299244570659,0.9182879377431906,40.938877
relu,minibatch,none,0.07,500,0.0366491196578246,0.926070038910506,39.381231
relu,stochastic,adagrad,0.001,500,0.2414142175745404,0.5136186770428015,24.294061
relu,stochastic,momentum,0.005,1000,0.240265969775542,0.5136186770428015,49.023377
relu,stochastic,none,0.005,1800,0.2431750402018437,0.5136186770428015,88.053656
relu,batch,adagrad,0.005,50,0.2568093385214007,0.4863813229571984,19.662164
relu,minibatch,adagrad,0.005,100,0.2568093384537464,0.4863813229571984,9.106096
relu,stochastic,adagrad,0.001,500,0.2568086823146299,0.4863813229571984,23.936317
relu,stochastic,momentum,0.005,1000,0.06993004004365,0.7976653696498055,48.467605
relu,stochastic,none,0.005,1800,0.2332470690879396,0.5136186770428015,86.908734
relu,batch,adagrad,0.0005,50,0.0522315333791445,0.8793774319066148,19.277387
relu,minibatch,adagrad,0.0005,100,0.0540001446416796,0.8754863813229572,9.230805
relu,stochastic,adagrad,0.0005,500,0.0658673553524644,0.8404669260700389,24.522478
relu,stochastic,none,0.1,2500,0.058579836015232006,0.8482490272373541,121.594681
